,Unnamed: 0,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90
84,84,Olivier Giroud,Chelsea,3,98,0,0,0.04,0.75,0.04,0.69
85,85,Theo Walcott,Everton,2,34,0,0,0.49,0.00,1.29,0.0
86,86,Calum Chambers,Arsenal,1,90,0,0,0.00,0.00,0.0,0.0
87,87,Joel Ward,Crystal Palace,3,270,0,0,0.00,0.00,0.0,0.0
88,88,Scott Dann,Crystal Palace,2,180,0,0,0.07,0.00,0.03,0.0
89,89,Connor Wickham,Crystal Palace,2,9,0,0,0.00,0.00,0.0,0.0
90,90,Wilfried Zaha,Crystal Palace,3,202,0,0,0.35,0.02,0.15,0.01
91,91,Martin Kelly,Crystal Palace,3,270,0,0,0.00,0.00,0.0,0.0
92,92,Adrián,Liverpool,3,232,0,0,0.00,0.00,0.0,0.0
93,93,Angelo Ogbonna,West Ham,2,180,0,0,0.01,0.00,0.01,0.0
94,94,Michail Antonio,West Ham,3,121,0,0,0.94,0.11,0.7,0.08
95,95,Cheikhou Kouyaté,Crystal Palace,1,88,0,0,0.00,0.00,0.0,0.0
96,96,Aaron Cresswell,West Ham,1,90,0,0,0.00,0.00,0.0,0.0
97,97,Manuel Lanzini,West Ham,3,270,0,1,0.23,0.89,0.08,0.3
98,98,David de Gea,Manchester United,3,270,0,0,0.00,0.00,0.0,0.0
99,99,Morgan Schneiderlin,Everton,2,169,0,0,0.03,0.04,0.02,0.02
100,100,Juan Mata,Manchester United,3,11,0,0,0.00,0.00,0.0,0.0
101,101,Jesse Lingard,Manchester United,3,231,0,0,0.00,0.05,0.0,0.02
102,102,José Holebas,Watford,3,270,0,0,0.00,0.24,0.0,0.08
103,103,Etienne Capoue,Watford,3,265,0,0,0.06,0.00,0.02,0.0
104,104,Troy Deeney,Watford,2,180,0,0,0.51,0.12,0.25,0.06
105,105,Nathan Aké,Bournemouth,3,270,0,0,0.43,0.81,0.14,0.27
106,106,Craig Cathcart,Watford,3,270,0,0,0.00,0.00,0.0,0.0
107,107,Seamus Coleman,Everton,3,270,0,0,0.45,0.42,0.15,0.14
108,108,John Stones,Manchester City,1,90,0,0,0.00,0.00,0.0,0.0
109,109,Phil Jagielka,Sheffield United,1,1,0,0,0.00,0.00,0.0,0.0
110,110,James McCarthy,Crystal Palace,2,19,0,0,0.00,0.00,0.0,0.0
111,111,Gerard Deulofeu,Watford,3,206,0,0,0.53,0.52,0.23,0.23
